Roll Number,Numerical Methods,Visual Programming,Operating Systems,Database Management System,Computer Graphics,Project II,SGPA
21535051,F,F,F,C,C-,0,-
21535052,F,F,A-,C+,B,A,-
21535053,F,B-,A-,A-,B+,A,-
21535054,F,C,B,B+,B,0,-
21535055,F,F,F,C,C,B+,-
21535058,F,A-,A,A-,A-,0,-
21535060,F,F,F,F,C,B,-
21535061,C+,F,C+,B+,B,A,-
21535062,F,B-,B+,A-,A-,A,-
21535064,F,F,F,C,F,B,-
21535065,C+,B-,B+,A-,A,A,3.33
21535066,B,B-,B,A,A,A,3.45
21535067,F,F,F,C+,F,A-,-
21535068,F,F,F,F,B-,A-,-
21535069,F,F,C,F,F,A,-
21535070,F,F,F,B+,B,A-,-
21535071,F,F,C,F,F,A,-
21535072,F,C+,B-,B,B,A,-
21535073,B-,A,A,A,A,A,3.78
21535074,Abs,Abs,Abs,Abs,NQ,C+,-
21535075,F,F,F,F,F,B-,-
21535076,F,C-,C+,C+,B-,A-,-
21535077,F,C,C+,C+,B+,A-,-
21535078,F,B+,A,B+,A-,A,-
21535079,C+,C+,B,B,B+,A,2.94
21535080,F,B+,B-,B,B,A,-
21535081,F,F,F,C-,C-,A-,-
21535083,F,F,C+,B-,B-,A,-
21535084,F,C,A-,A-,A-,A,-
21535085,F,F,F,C,F,A-,-
21535087,C+,B-,B+,C+,C,B+,2.58
21535088,F,F,F,F,F,A,-
21535089,C+,Abs,A,A-,A,A-,-
21535090,A-,A,A,A,A,A,3.95
21535091,C-,C-,B-,C+,C+,A-,2.32
21535092,B-,A-,A,A,A,A,3.73
21535093,F,F,A-,F,B-,0,-
21535094,F,B,C-,F,F,A,-
21535097,B,A,A-,A-,B+,A,3.58
21535098,C-,B-,B+,F,B-,A-,-
21535099,F,F,F,F,F,A,-
21535100,F,F,F,F,F,A-,-
21535101,F,F,F,F,F,A-,-
21535102,F,B-,C-,C,D+,A,-
21535103,D+,F,C-,D+,F,A-,-
21535104,F,F,C,Abs,D+,0,-
21535107,F,Abs,Abs,D+,F,0,-
21535109,F,B,B,B,C+,A,-
21535110,F,F,C,C-,D+,A,-
21535111,F,F,F,F,F,B+,-
21535112,Abs,NQ,F,NQ,Abs,0,-
21535113,B-,A-,B+,B+,A-,A,3.43
21535114,F,NQ,F,NQ,Abs,0,-
21535115,F,F,C-,C-,C-,B,-
21535116,Abs,NQ,F,F,Abs,0,-
21535118,B,B-,C+,C,C+,A,2.62
21535119,Abs,NQ,C-,NQ,Abs,A,-
21535120,B+,F,A,B+,B,A-,-
21535121,Abs,NQ,F,NQ,Abs,0,-
21535122,B+,A-,A,B+,A,A,3.72
21535123,F,C,B-,C-,C-,A-,-
21535124,F,C-,C-,F,D+,A-,-
21535125,B-,B-,C+,Abs,C-,0,-
21535126,F,F,F,NQ,C-,A-,-
21535127,B-,B+,A,B+,A-,A,3.48
21535128,F,F,C,Abs,D+,A-,-
21535129,F,C-,C-,C+,F,A,-
21535130,A-,A,A,B+,A,A,3.83
21535131,C+,B+,B,B-,B,A,2.99
21535132,F,D+,C-,F,F,A,-
21535134,F,C+,C,C,C-,A-,-
21535135,C+,B-,B,B-,C+,0,-
21535136,C-,F,C+,C,C-,A-,-
21535137,F,F,C-,Abs,F,A-,-
21535138,C+,C-,C,B-,C,A,2.34
21535139,C+,B-,A,B,A-,A,3.27
21535140,F,F,C-,F,F,0,-
21535142,F,C-,B,B-,B-,A,-
21535143,F,F,C+,C,C-,A-,-
21535144,F,F,F,Abs,F,A,-
21535146,F,F,C+,C,B-,B+,-
21535147,A,A-,A-,A-,B+,A,3.69
21535148,A,C+,B+,A-,A-,A,3.48
21535149,F,B-,A-,A-,B,A,-
21535150,F,B-,B-,C+,F,A,-
21535151,Abs,F,F,F,F,B+,-
21535152,B,A-,F,A,A,A,-
21535153,C-,F,C+,C,B-,A,-
21535154,A,B,B,B+,B,A,3.33
21535155,A,A,A,A-,A,A,3.95
21535158,F,F,B,C+,C,B+,-
21535159,A-,A-,A,A,A-,A,3.83
21535160,F,F,F,F,F,A-,-
21535161,A,A,A,A,A,A,4.00
21535162,F,B-,B,B-,B-,A-,-
21535163,NQ,Abs,F,Abs,F,0,-
21535164,B+,C+,B-,B,C+,A,2.84
21535165,Abs,F,F,D+,F,0,-
21535166,F,F,F,C-,F,B+,-
21535167,B-,B-,B,B,B-,A,2.94
21535168,F,F,F,C+,C,B+,-
21535169,F,F,F,C-,C-,B+,-
21535170,F,B,B+,B+,B,A,-
21535172,F,F,C,C,C-,B+,-
21535175,F,F,C,C-,F,A,-
21535176,F,F,C,C+,C+,A,-
21535178,F,C,C+,B,A-,A,-
21535179,F,C,C+,B-,B,A-,-
21535180,B-,A-,A,A-,A-,A,3.62
21535181,F,F,C,C,C,A-,-
21535182,F,F,F,D+,F,B+,-
21535183,F,C,B-,A-,B+,A,-
21535184,F,C,B-,A-,A-,A,-
21535185,F,C,B,B,C,A-,-
21535187,C,F,C+,C+,B-,A-,-
21535188,F,Abs,C+,B,F,A-,-
21535190,F,F,F,C-,Abs,Abs,-
21535191,B+,Abs,B+,A-,B+,A,-
21535192,B+,C,B-,B+,B,A-,2.96
21535193,F,F,F,C+,F,A,-
21535195,F,F,C+,B-,C,A-,-
21535196,F,B+,B-,B+,B+,A,-
21535198,F,F,C,C,F,A-,-
21535199,F,F,B-,B-,C,A,-
21535200,F,B-,B-,B-,C,A,-
21535201,C,C,C+,B-,C,A,2.39
21535202,F,B+,B+,A,A-,A,-
21535203,F,C,C+,B-,C,A,-
21535204,F,F,C,B-,B-,A-,-
21535206,A-,B+,A,A-,A-,A-,3.68
21535207,B-,C+,B-,B+,B,A-,2.91
21535208,B+,B-,B,A-,B-,A,3.16
21535209,B,B+,B,A-,A-,A,3.43
21535211,B,C+,B-,B,B-,A-,2.84
21535212,F,B,B-,A-,B,A-,-
